Parametro,20_taps,8_taps,diff_ns,diff_percent
mean_excess_delay,162.66040754722218,157.81409349472517,4.846314052497007,2.979406067877991
rms_delay_spread,117.71910389475985,110.31204429870031,7.40705959605954,6.292147451854038
maximum_excess_delay,400.0,350.0,50.0,12.5
