delay_ns,pdp_mean,pdp_std
0.0,0.0077422298248554355,0.0711932661467061
2.0,0.014650086048592444,0.08520444438094472
4.0,0.05759474344989915,0.191333447337785
6.0,0.025190495140701,0.10361611761097939
8.0,0.016215565011171648,0.09668672410568649
10.0,0.00844503370542971,0.06283007410700533
12.0,0.02279684296107698,0.11683338935477942
14.0,0.03823878327041421,0.16176682812921195
16.0,0.015357646453700498,0.07438288239340879
18.0,0.024497484315031258,0.10928472698302412
20.0,0.016735441360864352,0.08047256344146304
22.0,0.027260250098480144,0.12915903604967738
24.0,0.025984927648757865,0.09777468825286526
26.0,0.030413457758212498,0.10120971317992733
28.0,0.02821790835398506,0.10785512536097573
30.0,0.02633849392988302,0.10462169372897723
32.0,0.015353448116251096,0.05485792835161334
34.0,0.018924854134280675,0.08732729061510042
36.0,0.024666180665794117,0.10625704647384687
38.0,0.019795473417842612,0.08589744294845168
40.0,0.01036958094007489,0.047252634107288145
42.0,0.01621770636471868,0.09338404670780363
44.0,0.020708692629786758,0.09728110496697549
46.0,0.010837933130800382,0.04303398436706985
48.0,0.006063432301628177,0.01931182708485398
50.0,0.01016905380780529,0.04619184796685131
52.0,0.01086640930479319,0.04924663159866818
54.0,0.013508031440517421,0.07224146947812508
56.0,0.0144826373173589,0.06297691365479874
58.0,0.020532251522748717,0.09888280250752376
60.0,0.018620450565663367,0.09824879304647686
62.0,0.00812466436025919,0.04538868463905063
64.0,0.03176535007879746,0.13672988607917053
66.0,0.014873302375059912,0.0581070988248078
68.0,0.014837231872334884,0.062452558395094705
70.0,0.01525887346745869,0.06568241799126434
72.0,0.010297812831631685,0.0411806547228535
74.0,0.010584644035842266,0.04933959845121536
76.0,0.005253990994250984,0.020809928810725173
78.0,0.0005917353900661974,0.002160629864935981
80.0,0.005643761244700653,0.04469597946991574
82.0,0.014789039017771727,0.07842755372602923
84.0,0.007688069231029149,0.05624151817334361
86.0,0.013700806495166864,0.06446823086979714
88.0,0.0014965910877125944,0.007502605287902415
90.0,0.015756752558610837,0.08868543466923225
92.0,0.010596025752131621,0.058656990311137365
94.0,0.006795206295581322,0.03246031752811439
96.0,0.00818336093275606,0.043935813451400844
98.0,0.005699490910748626,0.02594434172748196
100.0,0.004195845182938961,0.024749344253160107
102.0,0.0025160931226583787,0.011763259040181008
104.0,0.0007891989490476294,0.004330085757265543
106.0,0.009607837418528001,0.06642790569218139
108.0,0.003875927114331799,0.019286996446045077
110.0,0.006474212025818022,0.04443024571002559
112.0,0.001867428149461403,0.013207554307207828
114.0,0.0014657738318235637,0.007349556605814841
116.0,0.0034201708776226258,0.016208891056894294
118.0,0.008682370282928143,0.08006412623798931
120.0,0.011821957762412329,0.06699488899093385
122.0,0.006562363083497066,0.038925453475414595
124.0,0.01065916568674421,0.07846033869628025
126.0,0.0024493048528099358,0.014297636354676301
128.0,0.008500156432150735,0.08087435834864778
130.0,0.0008746691466606534,0.003538142628075584
132.0,0.0023455095767073494,0.01867757177787009
134.0,0.0018941783423899196,0.016421952731294348
136.0,0.0018921887223126588,0.01392054177615917
138.0,0.00551738023908951,0.041119180389138144
140.0,0.0018663484912139496,0.011571317561720989
142.0,0.00692155932582464,0.061098761601200695
144.0,0.005212607357178181,0.04162929513223842
146.0,0.0024754222500698742,0.017087027544829637
148.0,0.0006141849860866076,0.002565347939297318
150.0,0.0002099662304104715,0.0011680830775855436
152.0,0.0003529500274449987,0.0018724572667780188
154.0,0.0018053793609757811,0.010680983370892159
156.0,0.0008809841937231433,0.0051756539321994015
158.0,0.0074642056089780666,0.05656892110619466
160.0,0.0026704243003727013,0.021864618014711214
162.0,0.0023388926764819793,0.022631087123412483
164.0,0.002215367391373493,0.021728661017524485
166.0,7.644463234632042e-05,0.000375527930185943
168.0,0.0006623017223510797,0.005661372021211091
170.0,0.0010350346930563716,0.00916135723618049
172.0,0.00023531372728110935,0.0014236945840587084
174.0,5.5182543383021475e-05,0.0004328252830158941
176.0,0.00013520809708610673,0.0007729567528742184
178.0,0.0015781004309451804,0.01257034233031379
180.0,0.01111109797120858,0.09642095126622258
182.0,0.00013568078861459878,0.0007884349604631612
184.0,0.006674431463659031,0.04505569375947888
186.0,0.0035095938725987906,0.0283507196116079
188.0,0.0035954263059718417,0.035358940076533216
190.0,0.00013649217137699172,0.0007435624238748691
192.0,0.0006676883170429328,0.004129386759886205
194.0,0.00011180344694450005,0.0008174885882814628
196.0,5.5334800351996365e-06,3.7375208543327776e-05
198.0,9.753125288281287e-06,4.2702779130344537e-05
200.0,8.47827489910636e-06,4.4642647302346764e-05
202.0,6.0286769127492765e-06,4.39408378587404e-05
204.0,0.007642278389478403,0.06041327074533704
206.0,0.0007036887919767824,0.006889676762747346
208.0,0.0002785615628597426,0.0021372092802965856
210.0,0.0010254203732846638,0.008136325196809076
212.0,0.001184019873175367,0.009052552948857784
214.0,0.00014747111851183255,0.000904166277598136
216.0,2.7376588668531045e-05,0.0001755987613688496
218.0,0.0013043454230390052,0.012047657903328068
220.0,0.0040213892676239284,0.029994648410830726
222.0,0.0020022246751825075,0.014041929141968203
224.0,0.000413409490496496,0.0029174601935506375
226.0,4.151700844554342e-05,0.00032047241051288137
228.0,0.00034010806622044654,0.0027073748953124342
230.0,3.865592080829552e-05,0.00028345427449225996
232.0,4.2071461365152345e-05,0.0003601908933656136
234.0,8.315573492037134e-06,8.223877530685898e-05
236.0,0.0004926844395996003,0.0048933400790412435
238.0,2.7398501296989356e-06,2.4421115690479673e-05
240.0,3.71779365669864e-05,0.0003531253540113462
242.0,0.0001286640198428333,0.0012751930473637297
244.0,2.3301501329540926e-05,0.00016032331990045465
246.0,3.399180905486228e-05,0.0003152130669116257
248.0,9.481314413877476e-05,0.0005985461645156103
250.0,3.7208358561615525e-05,0.0003456047500828565
252.0,1.656657274051451e-05,9.094185436660602e-05
254.0,6.760265782230405e-06,5.5193144360883624e-05
256.0,2.9773418482970104e-05,0.000269083490003558
258.0,2.4464770838160504e-06,1.6282627088414257e-05
260.0,1.8242041532350332e-06,9.56970391812558e-06
262.0,9.144467825550994e-07,4.419585232835697e-06
264.0,7.573273969706703e-06,7.203300116911882e-05
266.0,1.5618146705589617e-05,0.0001517314309746753
268.0,4.357931505824509e-06,3.9863099820113066e-05
270.0,6.240670570785847e-05,0.0005505396056823652
272.0,9.011185632639435e-05,0.0008764909204810971
274.0,1.450992664477937e-05,0.0001316237062620323
276.0,0.000654148779721732,0.006466503218369466
278.0,8.274672872583416e-06,5.801703267765753e-05
280.0,8.465265709648453e-06,5.8422151582616024e-05
282.0,1.1424925895463229e-06,6.1199016009192064e-06
284.0,3.120786467674931e-05,0.0003090650160090572
286.0,1.049395503934374e-06,9.119550204485373e-06
288.0,1.8717885184113437e-07,1.2377331239680005e-06
290.0,1.793088808421158e-07,1.596792143776029e-06
292.0,1.912929358478673e-06,1.2020481590057526e-05
294.0,1.4750133952074604e-05,0.00011940938092443535
296.0,7.568702329366985e-07,4.814044939930526e-06
298.0,3.1776573812680316e-05,0.0003057021444948271
